image_file,soma_id,soma_x,soma_y,soma_radius_px,soma_mean_intensity,n_primary_neurites,n_branch_points,n_endpoints,n_branches_attributed,total_length_um,mean_segment_length_um,max_path_length_um,pixel_size_um
neuron_sample_01.tif,0,116.06652360515021,87.62124463519314,17.22396045987371,0.7731387117244695,0,0,22,13,220.52588911744763,16.963529932111356,16.463477631085013,0.325
neuron_sample_01.tif,1,253.2733031674208,129.10859728506787,18.75453076547341,0.6436881601240935,0,0,22,13,184.2987769521985,14.17682899632296,15.29809703885627,0.325
neuron_sample_01.tif,2,410.5299910474485,171.52103849597134,26.666538690549782,0.7436164884398043,0,2,18,14,221.30258287448595,15.807327348177568,42.082716446627494,0.325
neuron_sample_01.tif,3,85.92799503414028,213.3693358162632,22.64502653215683,0.6408566221693205,0,2,16,11,180.66965722375306,16.42451429306846,20.767335854398777,0.325
neuron_sample_01.tif,4,318.5133735979293,300.5832614322692,27.163253048448134,0.701331852887598,0,0,6,3,54.89629867976518,18.298766226588395,12.665432893255069,0.325
neuron_sample_01.tif,5,152.23299319727892,353.7104591836735,27.361740666563517,0.7025182187913573,0,0,12,7,144.88303025278543,20.69757575039792,33.86929111656882,0.325
neuron_sample_01.tif,6,412.4148067501361,380.4333151878062,24.18129981865374,0.6507166904912128,0,0,20,15,228.53376246715413,15.235584164476942,83.44846314604058,0.325
neuron_sample_01.tif,7,282.8531855955679,424.4342105263158,21.43920417481474,0.6527571017983581,0,0,20,11,213.66426214648007,19.42402383149819,10.344238815542512,0.325
neuron_sample_02.tif,0,217.19582433405327,177.1223902087833,21.0269453775218,0.7930402033999423,0,0,24,17,248.42805358372294,14.613414916689585,10.311574669941304,0.325
neuron_sample_02.tif,1,429.9131147540984,183.32049180327868,19.706294962377495,0.6695811651324821,0,1,19,19,316.48206871011564,16.656950984742927,49.49635098079153,0.325
neuron_sample_02.tif,2,101.56451612903226,198.79286926994908,19.364117483750853,0.7153764719329854,0,0,22,14,246.04317267081996,17.574512333629997,12.294238815542508,0.325
neuron_sample_02.tif,3,322.916123424598,227.793568013907,27.063463342833682,0.7284340497328382,0,0,8,4,57.073306242961586,14.268326560740396,17.048149339882606,0.325
neuron_sample_02.tif,4,228.10933557611438,291.43818334735073,19.454317121722035,0.6351868188695312,0,0,12,6,85.98873913621664,14.331456522702773,10.682768747653862,0.325
neuron_sample_02.tif,5,342.60845245494096,350.15537600994406,22.630965663659147,0.6853528659090639,0,1,23,17,266.05855326304874,15.650503133120514,46.24635098079154,0.325
neuron_sample_02.tif,6,92.3265306122449,365.8558673469388,22.34076770248023,0.7715835132694282,0,0,18,15,237.06029932111346,15.804019954740898,23.905813485483794,0.325
neuron_sample_02.tif,7,237.86530612244897,414.31734693877553,17.66192765414112,0.7704617772200265,0,0,16,11,176.12362004911952,16.01123818628359,42.62515690307897,0.325
neuron_sample_03.tif,0,295.96153846153845,135.8760045924225,23.547734959697575,0.8181330002930532,0,1,15,12,208.6100901170081,17.384174176417343,55.56939571862148,0.325
neuron_sample_03.tif,1,86.14674868189806,146.97715289982426,19.0325156108475,0.6553616687262817,0,3,17,17,284.18365786510134,16.716685756770666,33.478962825366416,0.325
neuron_sample_03.tif,2,166.28052598622418,238.94176581089542,22.54641630582372,0.7352108594578942,0,0,14,8,118.0984108450142,14.762301355626775,17.461574669941292,0.325
neuron_sample_03.tif,3,379.1258064516129,258.0381720430108,24.33220886606579,0.6911385963239913,0,1,17,14,205.53926214647987,14.681375867605706,12.419291116568841,0.325
neuron_sample_03.tif,4,92.38675496688742,354.4794701986755,21.923684182580352,0.7344648135553545,0,1,19,13,203.71035162213977,15.670027047856905,35.82325394193526,0.325
neuron_sample_03.tif,5,201.23097949886105,381.22141230068337,26.43274863069334,0.7564497686977002,0,1,13,13,188.17567991334224,14.475052301026325,26.542440456451452,0.325
neuron_sample_03.tif,6,335.8659793814433,377.9440353460972,20.790979424682902,0.8073646287816737,0,0,10,10,138.0062318936944,13.80062318936944,41.36738815542509,0.325
